Bus Route,Delay Notice Time,Notes
67,"October 17, 2025 at 9:42 PM",Reroute due to blockage
9,"October 20, 2025 at 8:14 AM",Reroute due to blockage; northbound buses not affected
X9,"October 20, 2025 at 8:14 AM",Reroute due to blockage; northbound buses not affected
48,"October 20, 2025 at 10:35 AM",Reroute due to blockage
75,"October 20, 2025 at 3:21 PM",Reroute due to blockage; westbound buses not affected
66,"October 21, 2025 at 9:57 AM",Reroute due to blockage
9,"October 26, 2025 at 11:30 PM",Reroute due to blockage; northbound buses not affected
71,"October 30, 2025 at 9:24 AM",Reroute due to blockage; southbound buses not affected
172,"October 31, 2025 at 2:45 PM",Reroute due to blockage; northbound buses not affected
22,"October 31, 2025 at 4:50 PM",Reroute due to police activity
60,"November 1, 2025 at 9:14 PM",Reroute due to blockage
26,"November 4, 2025 at 1:40 PM",Reroute due to blockage
8,"November 4, 2025 at 5:59 PM",Reroute due to blockage
192,"November 10, 2025 at 3:58 AM",Reroute due to severe weather conditions; northbound buses not affected
47,"November 14, 2025 at 11:01 PM",Reroute due to blockage
50,"November 15, 2025 at 7:53 AM",Reroute due to blockage; northbound buses not affected
6,"November 18, 2025 at 2:01 AM",Reroute due to blockage
26,"November 18, 2025 at 2:01 AM",Reroute due to blockage
71,"November 18, 2025 at 2:03 AM",Reroute due to blockage
108,"November 20, 2025 at 8:25 AM",Reroute due to blockage; southbound buses not affected
147,"November 22, 2025 at 6:03 PM",Reroute due to a festival
28,"November 25, 2025 at 9:33 PM",Reroute due to police activity
4,"November 30, 2025 at 6:12 PM",Reroute due to police activity; northbound buses not affected
52A,"December 22, 2025 at 6:44 AM",Reroute due to blockage
53A,"December 22, 2025 at 6:44 AM",Reroute due to blockage
112,"December 22, 2025 at 6:44 AM",Reroute due to blockage
93,"December 22, 2025 at 9:51 AM",Reroute due to blockage
70,"December 22, 2025 at 7:12 PM",Reroute due to blockage; eastbound buses not affected
15,"December 28, 2025 at 11:50 AM",Reroute due to blockage
4,"December 28, 2025 at 12:06 PM",Reroute due to blockage
115,"December 28, 2025 at 12:09 PM",Reroute due to blockage
70,"December 28, 2025 at 2:14 PM",Reroute due to blockage
72,"January 4, 2026 at 9:16 PM",Reroute due to fire department activity
75,"January 5, 2026 at 10:01 AM",Reroute due to blockage; eastbound buses not affected
94,"January 5, 2026 at 11:20 AM",Reroute due to blockage
30,"January 5, 2026 at 11:42 AM",Reroute due to blockage; southbound buses not affected
86,"January 6, 2026 at 12:22 PM",Reroute due to blockage
75,"January 6, 2026 at 3:17 PM",Reroute due to blockage; eastbound buses not affected
151,"January 8, 2026 at 11:15 AM",Reroute due to blockage; southbound buses not affected
47,"January 8, 2026 at 12:35 PM",Reroute due to blockage; westbound buses not affected
39,"January 8, 2026 at 7:40 PM",Reroute due to blockage
49,"January 9, 2026 at 5:07 AM",Reroute due to flooding
44,"January 9, 2026 at 6:23 AM",Reroute due to flooding